,KMeans,GMM,FuzzyCMeans
0,0.4022726375974877,0.3678328481364272,0.4004575523408862
1,0.4022436371897048,0.3688869303611854,0.4004109549401089
2,0.4022667277636688,0.3689339685797375,0.4004575523408862
3,0.4027638979927641,0.3644522309287497,0.4004109549401089
4,0.4026530320598818,0.36564190914752,0.4004575523408862
5,0.4029725398460304,0.365670026773057,0.4004109549401089
6,0.4022841304259283,0.3680050463938992,0.4004565664100688
7,0.4023766828196383,0.3653333814806407,0.4004109549401089
8,0.4022771012828672,0.4020431716379118,0.4004575523408862
9,0.4023692319973442,0.3656092527672619,0.4004109549401089
10,0.4022937853647684,0.3680361660309386,0.4004109549401089
11,0.4022667277636688,0.3690308993429081,0.4004109549401089
12,0.4031820642942026,0.4029072217671479,0.4004109549401089
13,0.4022771012828672,0.365670026773057,0.4004565664100688
14,0.4022937853647684,0.4020598839187735,0.4004109549401089
15,0.4022726375974877,0.4020320789288816,0.4004575523408862
16,0.4022726375974877,0.36564190914752,0.4004109549401089
17,0.4022726375974877,0.4020192766526688,0.4004109549401089
18,0.4022667277636688,0.3680361660309386,0.4004575523408862
19,0.4022726375974877,0.3656092527672619,0.4004565664100688
20,0.4022937853647684,0.4020314162130058,0.4004109549401089
21,0.4022667277636688,0.3637792192566891,0.4004109549401089
22,0.4022804915211516,0.367795122973602,0.4004109549401089
23,0.4030512700080773,0.4020201216659192,0.4004565664100688
24,0.4022416110009195,0.3656092527672619,0.4004109549401089
25,0.4022726375974877,0.3680050463938992,0.4004109549401089
26,0.4022667277636688,0.4020201216659192,0.4004109549401089
27,0.4022667277636688,0.3689339685797375,0.4004109549401089
28,0.4022726375974877,0.3655798900912557,0.4004565664100688
mean,0.4023918268131072,0.3765250278335785,0.4004284598281938
